Q,A,I
"các trường đại_học khác có ngành công_nghệ_thông_tin ( cntt ) , trường đhbk chỉ có hai ngành : khoa_học máy_tính ( khmt ) và ngành kỹ_thuật máy_tính ( ktmt ) ._vậy hai ngành này có giống với ngành cntt của các trường đh khác không ?","tại đh bách_khoa , khoa kh & kt máy_tính , đào_tạo 2 ngành khoa_học máy_tính và kỹ_thuật máy_tính . từ khóa 2019 , ngành khoa_học máy_tính bao_gồm 6 chuyên_ngành : 1 ) khoa_học máy_tính , 2 ) công_nghệ_dữ_liệu bảo_mật & trí_tuệ kinh_doanh , 3 ) công_nghệ_phần_mềm , 4 ) mật_mã và an_ninh mạng_,_5 ) trí_tuệ nhân_tạo và ứng_dụng , 6 ) xử_lý ảnh và thị_giác máy_tính ._ngành kỹ_thuật máy_tính bao_gồm 3 chuyên_ngành : 1 ) kỹ_thuật máy_tính , 2 ) hệ_thống tính_toán hiện_đại , 3 ) internet vạn_vật và an_ninh mạng . có_thể hiểu , công_nghệ_thông_tin là tên gọi chung , chỉ 1 nhóm môn_học mà trong quá_trình học 1 trong 2 ngành kể trên , các em sẽ được cung_cấp kiến_thức về nó .",4
"các trường đại_học khác có ngành công_nghệ_thông_tin ( cntt ) , trường đhbk chỉ khmt hai ngành : khoa_học máy_tính ( có ) và cntt kỹ_thuật máy_tính ( ktmt ) ._vậy hai ngành này có giống với ngành ngành của các trường đh khác không ?","tại đh bách_khoa , khoa kh & kt máy_tính , 2 ngành khoa_học máy_tính và máy_tính . từ khóa 2019 , ngành khoa_học máy_tính bao_gồm 6 chuyên_ngành : ) khoa_học máy_tính , 2 ) công_nghệ_dữ_liệu bảo_mật & kinh_doanh , 3 ) công_nghệ_phần_mềm , 4 ) mật_mã và an_ninh mạng_,_5 ) trí_tuệ nhân_tạo và ứng_dụng , 6 ) xử_lý ảnh và thị_giác máy_tính ._ngành kỹ_thuật máy_tính bao_gồm 3 chuyên_ngành : 1 ) kỹ_thuật máy_tính , 2 ) hệ_thống tính_toán hiện_đại , 3 ) internet vạn_vật và mạng . có_thể hiểu , công_nghệ_thông_tin là gọi chung , chỉ 1 nhóm môn_học trong quá_trình học 1 trong 2 ngành kể trên , các em được kiến_thức về nó .",4
"các trường khác có ngành công_nghệ_thông_tin ( cntt ) , trường đhbk chỉ có hai ngành : khoa_học máy_tính ( khmt ) và ngành kỹ_thuật máy_tính ( ktmt ) ._ hai ngành này có giống với ngành cntt của các đh khác không ?","tại đh bách_khoa , khoa kh & kt máy_tính , đào_tạo 2 ngành khoa_học máy_tính và kỹ_thuật máy_tính . từ khóa 2019 , ngành khoa_học máy_tính bao_gồm hexad chuyên_ngành : 1 ) khoa_học máy_tính , 2 ) công_nghệ_dữ_liệu bảo_mật & trí_tuệ kinh_doanh , trine ) công_nghệ_phần_mềm , quatern ) mật_mã và an_ninh mạng_,_quintet ) trí_tuệ nhân_tạo và ứng_dụng , sise ) xử_lý ảnh và thị_giác máy_tính ._ngành kỹ_thuật máy_tính bao_gồm iii chuyên_ngành : one ) kỹ_thuật máy_tính , 2 ) hệ_thống tính_toán hiện_đại , ternary ) internet vạn_vật và an_ninh mạng . có_thể hiểu , công_nghệ_thông_tin là tên gọi chung , chỉ 1 nhóm môn_học mà trong quá_trình học one trong 2 ngành kể trên , các em sẽ được cung_cấp kiến_thức về nó .",5
"các trường đại_học khác có ngành công_nghệ_thông_tin ( cntt ) , trường đhbk chỉ có hai ngành : khoa_học máy_tính ( khmt ) và ngành kỹ_thuật máy_tính ( ktmt ) ._vậy hai ngành này có giống với ngành cntt của các trường đh khác không ?","tại đh bách_khoa , nhân_tạo kh & kt máy_tính , đào_tạo 2 ngành sẽ máy_tính và kỹ_thuật máy_tính . từ khóa 2019 , ngành khoa_học máy_tính bao_gồm máy_tính chuyên_ngành : 1 ) khoa_học 6 , 2 ) công_nghệ_dữ_liệu bảo_mật & trí_tuệ kinh_doanh , 3 ) công_nghệ_phần_mềm , 5 ) mật_mã và kiến_thức mạng_,_4 ) trí_tuệ khoa và ứng_dụng , 6 ) xử_lý ảnh và thị_giác máy_tính ._ngành kỹ_thuật máy_tính bao_gồm 3 chuyên_ngành : 1 ) kỹ_thuật máy_tính , 2 ) hệ_thống tính_toán hiện_đại , 3 ) internet vạn_vật và an_ninh mạng . có_thể hiểu , công_nghệ_thông_tin là tên gọi chung , chỉ 1 nhóm môn_học mà trong quá_trình học 1 trong 2 ngành kể trên , các em khoa_học được cung_cấp an_ninh về nó .",6
khác nhau giữa ngành khmt và ktmt ?,"tại đh bách_khoa , khoa kh & kt máy_tính , đào_tạo 2 ngành khoa_học máy_tính và kỹ_thuật máy_tính . từ khóa 2019 , ngành khoa_học máy_tính bao_gồm 6 chuyên_ngành : 1 ) khoa_học máy_tính , 2 ) công_nghệ_dữ_liệu bảo_mật & trí_tuệ kinh_doanh , 3 ) công_nghệ_phần_mềm , 4 ) mật_mã và an_ninh mạng_,_5 ) trí_tuệ nhân_tạo và ứng_dụng , 6 ) xử_lý ảnh và thị_giác máy_tính ._ngành kỹ_thuật máy_tính bao_gồm 3 chuyên_ngành : 1 ) kỹ_thuật máy_tính , 2 ) hệ_thống tính_toán hiện_đại , 3 ) internet vạn_vật và an_ninh mạng . có_thể hiểu , công_nghệ_thông_tin là tên gọi chung , chỉ 1 nhóm môn_học mà trong quá_trình học 1 trong 2 ngành kể trên , các em sẽ được cung_cấp kiến_thức về nó .",7
khmt nhau giữa ngành khác và ktmt ?,"khmt : ngành khoa_học máy_tính thuộc nhóm ngành máy_tính và công_nghệ_thông_tin . mục_tiêu của chương_trình ngành khoa_học máy_tính là đào_tạo ra những kỹ_sư có chất_lượng cao , có khả_năng thiết_kế , xây_dựng và triển_khai những hệ_thống phần_mềm đáp_ứng nhu_cầu trong nước và quốc_tế . kỹ_sư tốt_nghiệp ngành khoa_học máy_tính cũng được trang_bị những kiến_thức cần_thiết để có_thể học tiếp cao_học và tiến sỹ trong lĩnh_vực máy_tính và công_nghệ_thông_tin ._q chương_trình sẽ trang_bị cho sinh_viên kiến_thức nền_tảng thuộc lĩnh_vực máy_tính và công_nghệ_thông_tin , kiến_thức cốt_lõi ngành khoa_học máy_tính , và kiến_thức , công_nghệ chuyên_sâu của ngành như trí_tuệ nhân_tạo , bảo_mật và an_toàn máy_tính , xử_lý dữ_liệu khối_lượng lớn từ mạng internet và các mạng xã_hội , thiết_kế và phát_triển các ứng_dụng cho các thiết_bị di_động và môi_trường web . sau khi tốt_nghiệp chương_trình ngành khoa_học máy_tính của trường đại_học bách_khoa , các kỹ_sư có_thể đảm_nhiệm nhiều công_việc trong lĩnh_vực máy_tính và công_nghệ_thông_tin như : - thiết_kế và xây_dựng các phầm mềm máy_tính cho các ngân_hàng , các tổ_chức tài_chính , hành_chính và thương_mại , v.v. - thiết_kế và xây_dựng các ứng_dụng cho các thiết_bị di_động , ứng_dụng thương_mại_điện_tử trên nền web , các trò_chơi trên máy_tính và thiết_bị di_động , v.v. - quản_trị và xây_dựng các giải_pháp đảm_bảo an_toàn cho các hệ_thống máy_tính và hệ_thống mạng máy_tính ._- làm_việc trong các công_ty gia_công phần_mềm cho các thị_trường mỹ , nhật và châu_u ._- tư_vấn , thẩm_định và phát_triển các dự_án , giải_pháp công_nghệ_thông_tin ._ktmt : ngành kỹ_thuật máy_tính thuộc nhóm ngành máy_tính và công_nghệ_thông_tin . mục_tiêu của chương_trình ngành kỹ_thuật máy_tính là đào_tạo ra những kỹ_sư có chất_lượng cao , có khả_năng thiết_kế , xây_dựng và triển_khai những hệ_thống phần_mềm và phần_cứng cho máy_tính và các thiết_bị điều_khiển nhằm đáp_ứng nhu_cầu trong nước và quốc_tế . kỹ_sư tốt_nghiệp ngành kỹ_thuật máy_tính cũng được trang_bị những kiến_thức cần_thiết để có_thể học tiếp cao_học và tiến sỹ trong lĩnh_vực máy_tính và công_nghệ_thông_tin . chương_trình sẽ trang_bị cho sinh_viên kiến_thức nền_tảng thuộc lĩnh_vực máy_tính và công_nghệ_thông_tin , kiến_thức cốt_lõi ngành kỹ_thuật máy_tính , và kiến_thức , công_nghệ chuyên_sâu của ngành như vi xử_lý , vi điều_khiển , thiết_kế vi_mạch , phần_mềm nhúng , phần_mềm cho các thiết_bị điều_khiển tự_động , robot công_nghiệp . sau khi tốt_nghiệp chương_trình ngành kỹ_thuật máy_tính của trường đại_học bách_khoa , các kỹ_sư có_thể đảm_nhiệm nhiều công_việc trong lĩnh_vực máy_tính và công_nghệ_thông_tin như : - thiết_kế và xây_dựng các phầm mềm , phần_cứng cho các thiết_bị điều_khiển tự_động như các thiết_bị điều_khiển trong ô_tô , thiết_bị điện_tử , thiết_bị đọc mã_vạch , robot công_nghiệp , các dây_chuyền công_nghiệp . - quản_trị và xây_dựng các giải_pháp đảm_bảo an_toàn cho các hệ_thống máy_tính và mạng máy_tính ._- làm_việc trong các công_ty gia_công phần_mềm cho các thị_trường mỹ , nhật và châu_u ._- tư_vấn , thẩm_định và phát_triển các dự_án , giải_pháp công_nghệ_thông_tin .",8
khác giữa ngành khmt và ktmt ?,"khmt : ngành khoa_học máy_tính thuộc ngành máy_tính và công_nghệ_thông_tin . mục_tiêu của chương_trình ngành khoa_học máy_tính là đào_tạo ra những kỹ_sư có chất_lượng cao , có khả_năng thiết_kế , xây_dựng triển_khai những hệ_thống phần_mềm đáp_ứng nhu_cầu trong nước và quốc_tế . kỹ_sư tốt_nghiệp ngành khoa_học máy_tính cũng được trang_bị những kiến_thức cần_thiết để có_thể tiếp cao_học và tiến sỹ trong lĩnh_vực máy_tính và công_nghệ_thông_tin ._q trang_bị cho kiến_thức nền_tảng lĩnh_vực máy_tính và công_nghệ_thông_tin , kiến_thức cốt_lõi ngành khoa_học máy_tính , và kiến_thức , công_nghệ chuyên_sâu của ngành như trí_tuệ nhân_tạo , bảo_mật an_toàn máy_tính , xử_lý dữ_liệu khối_lượng lớn mạng internet và các mạng xã_hội , và phát_triển các ứng_dụng cho các thiết_bị di_động và môi_trường web . khi chương_trình ngành khoa_học máy_tính trường đại_học bách_khoa , các kỹ_sư có_thể đảm_nhiệm nhiều công_việc trong lĩnh_vực máy_tính và công_nghệ_thông_tin : - thiết_kế và các phầm mềm máy_tính các ngân_hàng , các tổ_chức tài_chính , hành_chính và thương_mại , v.v. - thiết_kế và xây_dựng các ứng_dụng cho các thiết_bị di_động , ứng_dụng thương_mại_điện_tử trên nền web , các trò_chơi trên máy_tính và thiết_bị di_động , v.v. - quản_trị và xây_dựng các giải_pháp đảm_bảo an_toàn cho các hệ_thống máy_tính và hệ_thống mạng máy_tính ._- làm_việc trong các công_ty phần_mềm cho các thị_trường mỹ , nhật và ._- , thẩm_định phát_triển các dự_án , giải_pháp công_nghệ_thông_tin ._ktmt : ngành máy_tính thuộc nhóm ngành máy_tính và công_nghệ_thông_tin . mục_tiêu của ngành kỹ_thuật đào_tạo ra những kỹ_sư có chất_lượng cao , có khả_năng thiết_kế , xây_dựng và triển_khai hệ_thống và phần_cứng cho máy_tính và các thiết_bị điều_khiển nhằm đáp_ứng nhu_cầu trong và quốc_tế . kỹ_sư tốt_nghiệp ngành kỹ_thuật cũng được trang_bị những kiến_thức để có_thể học tiếp cao_học và tiến sỹ trong lĩnh_vực máy_tính và công_nghệ_thông_tin . chương_trình sẽ trang_bị cho sinh_viên kiến_thức nền_tảng thuộc lĩnh_vực máy_tính và công_nghệ_thông_tin , kiến_thức cốt_lõi kỹ_thuật , và kiến_thức , công_nghệ chuyên_sâu của ngành xử_lý , vi điều_khiển , thiết_kế vi_mạch , phần_mềm nhúng , phần_mềm cho các thiết_bị điều_khiển tự_động , robot công_nghiệp . sau khi tốt_nghiệp chương_trình kỹ_thuật máy_tính của trường đại_học bách_khoa , các kỹ_sư có_thể đảm_nhiệm nhiều công_việc trong lĩnh_vực máy_tính và công_nghệ_thông_tin như : - và xây_dựng các phầm mềm , phần_cứng cho các thiết_bị điều_khiển tự_động như các thiết_bị điều_khiển trong ô_tô , thiết_bị điện_tử , thiết_bị đọc , robot công_nghiệp , các dây_chuyền công_nghiệp . - và các giải_pháp đảm_bảo cho các hệ_thống máy_tính và mạng máy_tính ._- làm_việc trong các công_ty gia_công phần_mềm cho các thị_trường mỹ , nhật ._- tư_vấn , thẩm_định và phát_triển các dự_án , giải_pháp công_nghệ_thông_tin .",9
khác nhau giữa ngành khmt và ktmt ?,"khmt : ngành khoa_học máy_tính thuộc nhóm ngành máy_tính và công_nghệ_thông_tin . mục_tiêu của chương_trình ngành khoa_học máy_tính là đào_tạo Ra những kỹ_sư có chất_lượng cao , có khả_năng thiết_kế , xây_dựng và triển_khai những hệ_thống phần_mềm đáp_ứng nhu_cầu trong nước và quốc_tế . kỹ_sư tốt_nghiệp ngành khoa_học máy_tính cũng được trang_bị những kiến_thức cần_thiết để có_thể học tiếp cao_học và tiến sỹ trong lĩnh_vực máy_tính và công_nghệ_thông_tin ._Q chương_trình sẽ trang_bị cho sinh_viên kiến_thức nền_tảng thuộc lĩnh_vực máy_tính và công_nghệ_thông_tin , kiến_thức cốt_lõi ngành khoa_học máy_tính , và kiến_thức , công_nghệ chuyên_sâu của ngành như trí_tuệ nhân_tạo , bảo_mật và an_toàn máy_tính , xử_lý dữ_liệu khối_lượng lớn từ mạng cyberspace và các mạng xã_hội , thiết_kế và phát_triển các ứng_dụng cho các thiết_bị di_động và môi_trường network . sau chi tốt_nghiệp chương_trình ngành khoa_học máy_tính của trường đại_học bách_khoa , các kỹ_sư có_thể đảm_nhiệm nhiều công_việc trong lĩnh_vực máy_tính và công_nghệ_thông_tin như : - thiết_kế và xây_dựng các phầm mềm máy_tính cho các ngân_hàng , các tổ_chức tài_chính , hành_chính và thương_mại , pentad.5. - thiết_kế và xây_dựng các ứng_dụng cho các thiết_bị di_động , ứng_dụng thương_mại_điện_tử trên nền vane , các trò_chơi trên máy_tính và thiết_bị di_động , V.fivesome. - quản_trị và xây_dựng các giải_pháp đảm_bảo an_toàn cho các hệ_thống máy_tính và hệ_thống mạng máy_tính ._- làm_việc trong các công_ty gia_công phần_mềm cho các thị_trường mỹ , nhật và châu_u ._- tư_vấn , thẩm_định và phát_triển các dự_án , giải_pháp công_nghệ_thông_tin ._ktmt : ngành kỹ_thuật máy_tính thuộc nhóm ngành máy_tính và công_nghệ_thông_tin . mục_tiêu của chương_trình ngành kỹ_thuật máy_tính là đào_tạo Re những kỹ_sư có chất_lượng cao , có khả_năng thiết_kế , xây_dựng và triển_khai những hệ_thống phần_mềm và phần_cứng cho máy_tính và các thiết_bị điều_khiển nhằm đáp_ứng nhu_cầu trong nước và quốc_tế . kỹ_sư tốt_nghiệp ngành kỹ_thuật máy_tính cũng được trang_bị những kiến_thức cần_thiết để có_thể học tiếp cao_học và tiến sỹ trong lĩnh_vực máy_tính và công_nghệ_thông_tin . chương_trình sẽ trang_bị cho sinh_viên kiến_thức nền_tảng thuộc lĩnh_vực máy_tính và công_nghệ_thông_tin , kiến_thức cốt_lõi ngành kỹ_thuật máy_tính , và kiến_thức , công_nghệ chuyên_sâu của ngành như sextet xử_lý , sixer điều_khiển , thiết_kế vi_mạch , phần_mềm nhúng , phần_mềm cho các thiết_bị điều_khiển tự_động , golem công_nghiệp . sau chi tốt_nghiệp chương_trình ngành kỹ_thuật máy_tính của trường đại_học bách_khoa , các kỹ_sư có_thể đảm_nhiệm nhiều công_việc trong lĩnh_vực máy_tính và công_nghệ_thông_tin như : - thiết_kế và xây_dựng các phầm mềm , phần_cứng cho các thiết_bị điều_khiển tự_động như các thiết_bị điều_khiển trong ô_tô , thiết_bị điện_tử , thiết_bị đọc mã_vạch , golem công_nghiệp , các dây_chuyền công_nghiệp . - quản_trị và xây_dựng các giải_pháp đảm_bảo an_toàn cho các hệ_thống máy_tính và mạng máy_tính ._- làm_việc trong các công_ty gia_công phần_mềm cho các thị_trường mỹ , nhật và châu_u ._- tư_vấn , thẩm_định và phát_triển các dự_án , giải_pháp công_nghệ_thông_tin .",8
"nếu ban_đầu em học ngành khmt , sau đó , em thấy không phù_hợp , em có_thể chuyển sang ngành ktmt được không ?","khmt : kiến_thức khoa_học máy_tính từ phần_mềm ngành máy_tính và thẩm_định . mục_tiêu của chương_trình ngành khoa_học máy_tính là đào_tạo ra những kỹ_sư có chất_lượng cao , thiết_bị khả_năng máy_tính , xây_dựng và triển_khai những hệ_thống phần_mềm đáp_ứng xử_lý trong nước và quốc_tế . kỹ_sư tốt_nghiệp ngành khoa_học máy_tính cũng được trang_bị những kiến_thức cần_thiết để có_thể học tiếp cao_học và tiến sỹ trong lĩnh_vực máy_tính và công_nghệ_thông_tin ._q chương_trình sẽ trang_bị cho ứng_dụng kiến_thức nền_tảng thuộc lĩnh_vực máy_tính và công_nghệ_thông_tin , kiến_thức cốt_lõi ngành khoa_học máy_tính , và kiến_thức , công_nghệ chuyên_sâu của ngành như tổ_chức nhân_tạo , bảo_mật và an_toàn máy_tính , nhu_cầu dữ_liệu khối_lượng lớn thuộc mạng internet và các và xã_hội , thiết_kế và phát_triển các ứng_dụng cho các thiết_bị di_động dự_án môi_trường web . sau khi tốt_nghiệp chương_trình ngành khoa_học máy_tính của trường đại_học cho , các kỹ_sư có_thể đảm_nhiệm nhiều công_việc trong lĩnh_vực máy_tính và công_nghệ_thông_tin như : - thiết_kế và là các phầm mềm máy_tính cho các ngân_hàng , các trí_tuệ sỹ , hành_chính và thương_mại , v.v. - thiết_kế và xây_dựng các ứng_dụng cho các thiết_bị di_động , sinh_viên thương_mại_điện_tử trên nền web , các trò_chơi trên máy_tính và có di_động , v.v. - robot và xây_dựng các giải_pháp đảm_bảo an_toàn cho các hệ_thống máy_tính ngành hệ_thống mạng máy_tính ._- làm_việc trong các công_ty gia_công phần_mềm cho các thị_trường mỹ , nhật và châu_u ._- tư_vấn , thẩm_định và phát_triển các và , giải_pháp công_nghệ_thông_tin ._ktmt : ngành kỹ_thuật máy_tính của nhóm ngành máy_tính và công_nghệ_thông_tin . mục_tiêu của chương_trình trong kỹ_thuật máy_tính xây_dựng đào_tạo ra những kỹ_sư có chất_lượng cao , có khả_năng thiết_kế , xây_dựng và triển_khai những hệ_thống phần_mềm và phần_cứng cho máy_tính và các thiết_bị điều_khiển nhằm đáp_ứng nhu_cầu trong nước và quốc_tế . kỹ_sư tốt_nghiệp và kỹ_thuật máy_tính cũng được trang_bị những kiến_thức cần_thiết để có_thể học tiếp máy_tính và tiến tài_chính trong lĩnh_vực cao_học và công_nghệ_thông_tin . chương_trình sẽ trang_bị cho sinh_viên kiến_thức nền_tảng thuộc lĩnh_vực máy_tính và công_nghệ_thông_tin , kiến_thức cốt_lõi ngành kỹ_thuật máy_tính , và ngành , công_nghệ chuyên_sâu của ngành như vi xử_lý , vi điều_khiển , thiết_kế vi_mạch , phần_mềm nhúng , nhóm bách_khoa các thiết_bị điều_khiển tự_động , quản_trị công_nghiệp . sau khi tốt_nghiệp chương_trình ngành kỹ_thuật thiết_kế thuộc trường đại_học bách_khoa , các kỹ_sư có_thể đảm_nhiệm nhiều công_việc trong lĩnh_vực máy_tính và công_nghệ_thông_tin như : - ngành mạng xây_dựng các phầm mềm , phần_cứng cho các trong điều_khiển tự_động như các thiết_bị điều_khiển thiết_bị ô_tô , thiết_bị điện_tử , thiết_bị đọc mã_vạch , robot công_nghiệp , các dây_chuyền công_nghiệp . - quản_trị và xây_dựng các giải_pháp đảm_bảo an_toàn cho các hệ_thống máy_tính và mạng máy_tính ._- làm_việc thiết_kế các công_ty gia_công phần_mềm cho các thị_trường mỹ , nhật và châu_u ._- tư_vấn , công_nghệ_thông_tin và phát_triển các dự_án , giải_pháp công_nghệ_thông_tin .",8
"nếu ban_đầu em học ngành khmt , sau đó , em thấy không phù_hợp , em chuyển sang ktmt được không ?","khmt : ngành khoa_học máy_tính thuộc nhóm ngành máy_tính và công_nghệ_thông_tin . mục_tiêu của chương_trình ngành khoa_học máy_tính là đào_tạo ra những kỹ_sư có chất_lượng cao , có khả_năng thiết_kế , xây_dựng và triển_khai những hệ_thống phần_mềm đáp_ứng nhu_cầu trong nước và quốc_tế . kỹ_sư tốt_nghiệp ngành khoa_học máy_tính cũng được trang_bị những kiến_thức cần_thiết để có_thể học tiếp cao_học và tiến sỹ trong lĩnh_vực máy_tính và công_nghệ_thông_tin ._q chương_trình sẽ trang_bị cho sinh_viên kiến_thức nền_tảng thuộc lĩnh_vực máy_tính và công_nghệ_thông_tin , kiến_thức cốt_lõi ngành khoa_học máy_tính , và kiến_thức , công_nghệ chuyên_sâu của ngành như trí_tuệ nhân_tạo , bảo_mật và an_toàn máy_tính , xử_lý dữ_liệu khối_lượng lớn từ mạng internet và các mạng xã_hội , thiết_kế và phát_triển các ứng_dụng cho các thiết_bị di_động và môi_trường web . sau khi tốt_nghiệp chương_trình ngành khoa_học máy_tính của trường đại_học bách_khoa , các kỹ_sư có_thể đảm_nhiệm nhiều công_việc trong lĩnh_vực máy_tính và công_nghệ_thông_tin như : - thiết_kế và xây_dựng các phầm mềm máy_tính cho các ngân_hàng , các tổ_chức tài_chính , hành_chính và thương_mại , v.v. - thiết_kế và xây_dựng các ứng_dụng cho các thiết_bị di_động , ứng_dụng thương_mại_điện_tử trên nền web , các trò_chơi trên máy_tính và thiết_bị di_động , v.v. - quản_trị và xây_dựng các giải_pháp đảm_bảo an_toàn cho các hệ_thống máy_tính và hệ_thống mạng máy_tính ._- làm_việc trong các công_ty gia_công phần_mềm cho các thị_trường mỹ , nhật và châu_u ._- tư_vấn , thẩm_định và phát_triển các dự_án , giải_pháp công_nghệ_thông_tin ._ktmt : ngành kỹ_thuật máy_tính thuộc nhóm ngành máy_tính và công_nghệ_thông_tin . mục_tiêu của chương_trình ngành kỹ_thuật máy_tính là đào_tạo ra những kỹ_sư có chất_lượng cao , có khả_năng thiết_kế , xây_dựng và triển_khai những hệ_thống phần_mềm và phần_cứng cho máy_tính và các thiết_bị điều_khiển nhằm đáp_ứng nhu_cầu trong nước và quốc_tế . kỹ_sư tốt_nghiệp ngành kỹ_thuật máy_tính cũng được trang_bị những kiến_thức cần_thiết để có_thể học tiếp cao_học và tiến sỹ trong lĩnh_vực máy_tính và công_nghệ_thông_tin . chương_trình sẽ trang_bị cho sinh_viên kiến_thức nền_tảng thuộc lĩnh_vực máy_tính và công_nghệ_thông_tin , kiến_thức cốt_lõi ngành kỹ_thuật máy_tính , và kiến_thức , công_nghệ chuyên_sâu của ngành như vi xử_lý , vi điều_khiển , thiết_kế vi_mạch , phần_mềm nhúng , phần_mềm cho các thiết_bị điều_khiển tự_động , robot công_nghiệp . sau khi tốt_nghiệp chương_trình ngành kỹ_thuật máy_tính của trường đại_học bách_khoa , các kỹ_sư có_thể đảm_nhiệm nhiều công_việc trong lĩnh_vực máy_tính và công_nghệ_thông_tin như : - thiết_kế và xây_dựng các phầm mềm , phần_cứng cho các thiết_bị điều_khiển tự_động như các thiết_bị điều_khiển trong ô_tô , thiết_bị điện_tử , thiết_bị đọc mã_vạch , robot công_nghiệp , các dây_chuyền công_nghiệp . - quản_trị và xây_dựng các giải_pháp đảm_bảo an_toàn cho các hệ_thống máy_tính và mạng máy_tính ._- làm_việc trong các công_ty gia_công phần_mềm cho các thị_trường mỹ , nhật và châu_u ._- tư_vấn , thẩm_định và phát_triển các dự_án , giải_pháp công_nghệ_thông_tin .",10
